S.No,Module,Activity,Type,Owner,Status,Priority,Dependency,Notes
1,System Setup,Frappe v16 staging environment setup,DevOps,DevOps,Completed,P0,,stgprime-rural.dhwaniris.in
2,System Setup,Production environment setup + SSL + domain,DevOps,DevOps,Not Started,P0,,Needed before go-live
3,System Setup,Master: District + Block + Village,Backend,Backend Dev,Completed,P0,1,Geographic hierarchy
4,System Setup,Master: Sector + Business Basket + Product Type,Backend,Backend Dev,Completed,P0,1,
5,System Setup,Master: Cohort,Backend,Backend Dev,Completed,P0,1,
6,System Setup,Master: Packaging Master (12 types),Backend,Backend Dev,Completed,P0,1,Glass Jar through Other
7,System Setup,Master: Registration Master (20 types),Backend,Backend Dev,Completed,P0,1,Repo: registration_master doctype exists. Data population may be partial.
8,System Setup,Master: Test Type Master (14 types),Backend,Backend Dev,Completed,P0,1,Repo: df_module_test_type + product_testing_master exist
9,System Setup,Master: Lab Master (12 labs),Backend,Backend Dev,Completed,P0,1,Repo: product_testing_master covers lab field
10,System Setup,Master: Standardisation Type Master (13 types),Backend,Backend Dev,Completed,P0,1,Repo: standardization_type doctype exists
11,System Setup,Master: Scheme Master (17 schemes),Backend,Backend Dev,Completed,P0,1,Repo: df_funding_scheme_master doctype exists
12,System Setup,Role setup: 6 roles with permission rules,Backend,Tech Lead,Completed,P0,1,"Core IT, Core Prog, Fessociate, Designer, SELCO, DC"
13,System Setup,Welcome email custom template,Backend,Backend Dev,Not Started,P1,12,Set-password link + role-based pointers
14,System Setup,Google SSO configuration,Backend,DevOps,Not Started,P0,12,For Gmail-based user emails
15,System Setup,MSG91 OTP integration,Backend,Backend Dev,Completed,P0,,Mobile app auth
16,Entrepreneur Profile,EP doctype backend (all fields),Backend,Backend Dev,Completed,P0,,"Name, Gender, Phone, DOB, Education, Income, Sector etc."
17,Entrepreneur Profile,Vue: Profile Dashboard (9 sub-components),Frontend,Frontend Dev,Completed,P0,16,"BasicBusiness, CollapsibleCard, DiagnosticFramework, ProductsShelf, StatsCards etc."
18,Entrepreneur Profile,Vue: Selection tab (10 rating fields + Rural E-Champ),Frontend,Frontend Dev,Completed,P0,16,Average rating auto-calc
19,Entrepreneur Profile,Vue: Prioritisation tab,Frontend,Frontend Dev,Completed,P0,16,Priority 0 default. Cards reorder on dashboard.
20,Entrepreneur Profile,Vue: Location & Contact + Geolocation,Frontend,Frontend Dev,Completed,P0,16,Map pin for geo-coordinates
21,Entrepreneur Profile,Vue: Documents tab + photo gallery,Frontend,Frontend Dev,Completed,P0,16,
22,Entrepreneur Profile,Vue: Intervention Logs (read-only sync from Activity Logger),Frontend,Frontend Dev,In Progress,P0,16,Depends on Activity Logger completion
23,Entrepreneur Profile,EP naming rule: EP-.{name}-.#####,Backend,Backend Dev,Completed,P0,16,
24,Entrepreneur Profile,Vue: Networking & Mentoring tab,Frontend,Frontend Dev,Completed,P0,16,Inline add intro + log meetings
25,Product Portfolio,Product doctype backend,Backend,Backend Dev,Completed,P0,,
26,Product Portfolio,Vue: Product Details tab (12 fields),Frontend,Frontend Dev,Completed,P0,25,Repo: product.js with flow table population + product type integration
27,Product Portfolio,Vue: Product Variants tab (SKU auto-gen + Volume calc),Frontend,Frontend Dev,Completed,P0,25,Repo: product_sku doctype + product.js. SKU = VARIANT-SUBVARIANT-WEIGHT-UNIT
28,Product Portfolio,Vue: Process Flow tab (drag-drop reorderable steps),Frontend,Frontend Dev,Completed,P0,25,Repo: process_flow + process_flow_master + machinery_flow doctypes
29,Product Portfolio,Vue: Production Capacity tab (conditional agri + monthly tracker),Frontend,Frontend Dev,In Progress,P0,25,Dynamic table from Available Months x Variants. Needs verification.
30,Product Portfolio,Available Months checkbox logic -> tracker generation,Frontend,Frontend Dev,In Progress,P0,29,Needs verification against BRD spec
31,Product Portfolio,Cross-module: Variants -> Labels + Packaging auto-populate,Integration,Backend Dev,Not Started,P0,"27,75,93",Golden Thread
32,Product Portfolio,Cross-module: Process Flow machines -> Machinery Existing,Integration,Backend Dev,Not Started,P0,"28,35",Golden Thread
33,Product Portfolio,Cross-module: Ingredients -> Raw Materials auto-populate,Integration,Backend Dev,Not Started,P0,"26,34",Golden Thread
34,Manufacturing - Raw Materials,DF Raw Material doctype backend,Backend,Backend Dev,Completed,P0,,
35,Manufacturing - Raw Materials,Vue: Existing tab (per-product cards + Cost/Batch calc),Frontend,Frontend Dev,Completed,P0,34,Repo: df_raw_material.js 866 lines. Repeaters for Existing vs Required phases.
36,Manufacturing - Raw Materials,Vue: Required tab (bridging + implementation status),Frontend,Frontend Dev,Completed,P0,35,Repo: same JS handles Required phase with intervention bridge logic
37,Manufacturing - Raw Materials,Vue: Summary tab (auto-generated on first save),Frontend,Frontend Dev,Completed,P1,35,Repo: summary rendering in df_raw_material.js
38,Manufacturing - Raw Materials,Cross-module: Cost/Batch feeds Unit Pricing Section I,Integration,Backend Dev,Not Started,P0,"35,56",Golden Thread
39,Manufacturing - Raw Materials,Log Book tab (standard pattern),Frontend,Frontend Dev,Completed,P1,35,Repo: log book pattern via direct_log_book_child
40,Manufacturing - Machinery,DF Machinery doctype backend,Backend,Backend Dev,Completed,P0,,
41,Manufacturing - Machinery,Vue: Existing tab (22 fields + 7 calcs),Frontend,Frontend Dev,Completed,P0,40,Repo: df_machinery.js 531 lines. Classification + specs + solarization + costing.
42,Manufacturing - Machinery,Vue: Required tab (SELCO price + quotation + impl status),Frontend,Frontend Dev,Completed,P0,41,Repo: same JS handles Required with phasing + wattage validation
43,Manufacturing - Machinery,Vue: Summary tab,Frontend,Frontend Dev,Completed,P1,41,Repo: summary in df_machinery.js
44,Manufacturing - Machinery,Cross-module: Required machines -> Infrastructure EE,Integration,Backend Dev,Not Started,P0,"42,78",Golden Thread
45,Manufacturing - Machinery,Cross-module: Dep/Unit feeds Unit Pricing Section V,Integration,Backend Dev,Not Started,P0,"41,56",Golden Thread
46,Manufacturing - Human Resource,DF HR doctype backend,Backend,Backend Dev,Completed,P0,,
47,Manufacturing - Human Resource,Vue: Existing tab (3 wage formulas + GoM compliance),Frontend,Frontend Dev,Completed,P0,46,Repo: df_human_resource.js 311 lines. GoM compliance warnings built.
48,Manufacturing - Human Resource,Vue: Required tab (8 intervention types),Frontend,Frontend Dev,Completed,P0,47,Repo: same JS handles Required repeaters
49,Manufacturing - Human Resource,Vue: Summary tab,Frontend,Frontend Dev,Completed,P1,47,Repo: dashboard indicators in df_human_resource.js
50,Manufacturing - Human Resource,Cross-module: Labour cost feeds Unit Pricing Section II,Integration,Backend Dev,Not Started,P0,"47,56",Golden Thread
51,Pricing - Unit Pricing,DF Unit Pricing doctype backend,Backend,Backend Dev,Completed,P0,,Repo: df_unit_pricing doctype exists with JSON definition
52,Pricing - Unit Pricing,Vue: Sections I-VI cost tables (RM + HR + Pkg + Transport + Machine Dep + Gas),Frontend,Frontend Dev,Completed,P0,51,Repo: df_unit_pricing.js 1682 lines. Complex pricing entry repeaters.
